country,age_group,population
Liechtenstein,25-29,2306
Liechtenstein,30-34,2456
Liechtenstein,35-39,2600
Liechtenstein,40-44,2590
Liechtenstein,45-49,2660
Liechtenstein,50-54,3072
Liechtenstein,55-59,3237
Liechtenstein,60-64,2983
Liechtenstein,65-69,2432
Liechtenstein,70-74,2027
Liechtenstein,75-79,1688
Liechtenstein,80-84,1112
Liechtenstein,85-89,546
Liechtenstein,90-94,223
Liechtenstein,95-99,53
Liechtenstein,100+,6
Norway,0-4,273874
Norway,5-9,298418
Norway,10-14,322876
Norway,15-19,328313
Norway,20-24,334883
Norway,25-29,359592
Norway,30-34,389088
Norway,35-39,375907
Norway,40-44,358530
Norway,45-49,353351
Norway,50-54,378683
Norway,55-59,362905
Norway,60-64,319437
Norway,65-69,292864
Norway,70-74,256889
Norway,75-79,230094
Norway,80-84,135621
Norway,85-89,76027
Norway,90-94,35798
Norway,95-99,9969
Norway,100+,1282
